ProductNO,ProductTitle,ProductCode,Availability,Price,ImageURL,ManualURL,SupportSoftwareURL,SoftDMCManualURL
52,"CFADPTCS Compact Flash - IDE adapter type  2 - Chant Sincere",CFADPTCS,44,US$20.00,http://store.mesanet.com/image/cache/catalog/Products/Disk-Cards/cfadptcscolo-500x500.png,,,
53,"5I21 PICTURE",5I21,25,US$275.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/5i21colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i21man.pdf,http://www.mesanet.com/software/parallel/5i21.zip,
54,"4i20 picture",4I20,10,US$169.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i20colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i20man.pdf,http://www.mesanet.com/software/parallel/4i20.zip,
55,"5I25 picture",5I25,Out Of Stock,US$89.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i25colo-500x500.pnghttp://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i25lpcolo-500x500.png,http://www.mesanet.com/pdf/parallel/5i25man.pdf,http://www.mesanet.com/software/parallel/5i25.zip,
56,"4I39  FPGA based Anything I/O card with isolated RS-422 interface",4I39,Out Of Stock,US$299.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i39colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i39man.pdf,http://www.mesanet.com/software/parallel/4i39.zip,
58,"6i25 picture",6I25,69,US$109.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/6i25lpcolo-500x500.png,http://www.mesanet.com/pdf/parallel/6i25man.pdf,http://www.mesanet.com/software/parallel/5i25.zip,
59,"7I80DB Picture",7I80DB-16,Out Of Stock,US$149.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80dbcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80dbman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
60,"7I80DB-25 Ethernet Anything I/O card",7I80DB-25 ,Out Of Stock,US$169.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80dbcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80dbman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
61,"7I80HD-25  Ethernet Anything I/O card",7I80HD-25,Out Of Stock,US$169.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80hdcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80hdman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
62,"7I80HD-16  Ethernet Anything I/O card",7I80HD-16,Out Of Stock,US$149.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80hdcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80hdman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
63,"5I22-1 FPGA based PCI  Anything I/O card (OBSOLETE)",5I22-1,Out Of Stock,US$249.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i22colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i22man.pdf,http://www.mesanet.com/software/parallel/5i22.zip,
64,"5I22-1.5 FPGA based PCI  Anything I/O card (OBSOLETE)",5I22-1.5,Out Of Stock,US$429.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i22colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i22man.pdf,http://www.mesanet.com/software/parallel/5i22.zip,
65,"5I23 FPGA card",5I23,Out Of Stock,US$260.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i23colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i23man.pdf,http://www.mesanet.com/software/parallel/5i23.zip,
70,"7I43-U-4  FPGA based USB/EPP Anything I/O card",7I43-U-4,4,US$89.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i43colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i43man.pdf,http://www.mesanet.com/software/parallel/7i43.zip,
73,"7I68  3X2X cabled PCIE motherboard",7I68,14,US$99.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i68colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i68man.pdf,,
74,"7I33TA Analog servo interface",7I33TA,Out Of Stock,US$79.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i33tacolo-500x500.png,http://www.mesanet.com/pdf/motion/7i33man.pdf,,
76,"6I68  3X2X 1X PCIE slot motherboard",6I68,12,US$99.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/6i68colo-500x500.png,http://www.mesanet.com/pdf/parallel/6i68man.pdf,,
77,"3X20 picture",3X20-2,Out Of Stock,US$550.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/3x20colo-500x500.png,http://www.mesanet.com/pdf/parallel/3x20man.pdf,http://www.mesanet.com/software/parallel/3x20.zip,
78,"3X20 picture",3X20-2-MB,Out Of Stock,US$550.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/3x20colo-500x500.png,http://www.mesanet.com/pdf/parallel/3x20man.pdf,http://www.mesanet.com/software/parallel/3x20.zip,
79,"4i69 picture",4I69-16,Out Of Stock,US$260.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i69colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i69man.pdf,http://www.mesanet.com/software/parallel/4i69.zip,http://www.mesanet.com/pdf/parallel/softdmc.pdf
